"","years","weeks","Cure_0","Cure_1","Cure_2","Cure_3","Cure_4","Cure_5","Cure_10","Cure_15","Cure_20","background"
"73",14.4,72,0.0546655723777031,0.0494923818889251,0.0444161718003075,0.0394588696450368,0.0346456856690521,0.0300082880483238,0.0108659681945477,0.00204724761053455,0.000411065015646038,0.771762614218288
"74",14.6,73,0.0539507902492828,0.0488164076362108,0.0437807740842237,0.0388658223464212,0.0340967422507671,0.029505088793048,0.0106049652721853,0.0019684321301606,0.000388501907058599,0.767613890888034
"75",14.8,74,0.0532547670345644,0.04815854390049,0.0431627852147649,0.0382894246111033,0.0335636267472762,0.0290168299997133,0.0103534479592326,0.00189351892725618,0.000367395148351064,0.763465167557779
"76",15,75,0.0525767704027819,0.0475180743497186,0.0425615067161857,0.03772899790147,0.033045682907151,0.0285428802981731,0.0101109572678296,0.001822272250068,0.000347636669881733,0.759316444227525
"77",15.2,76,0.0519161057243957,0.0468943198753557,0.0419762767804582,0.037183899702057,0.032542289751244,0.0280826427219274,0.00987706181863729,0.00175447312378138,0.000329127460623524,0.755040257823564
"78",15.4,77,0.0512721136737608,0.0462866362085407,0.0414064679007447,0.036653521174777,0.0320528592549972,0.0276355524237244,0.0096513558631088,0.00168991797921768,0.000311776722448155,0.750764071419603
"79",15.6,78,0.0506441680124888,0.0456944117169609,0.0408514846853554,0.036137284994185,0.0315768342100401,0.0272010745693462,0.00943345746960542,0.00162841740785899,0.000295501111347271,0.746487885015642
"80",15.8,79,0.0500316735378134,0.0451170653666448,0.0403107618363647,0.0356346433469061,0.0311136862491734,0.026778702393667,0.00922300685798991,0.00156979503027538,0.000280224055843677,0.742211698611681
"81",16,80,0.0494340641818021,0.0445540448344657,0.0397837622786236,0.0351450760809285,0.030662914020421,0.0263679554046668,0.00901966486893668,0.00151388646648147,0.00026587514402806,0.73793551220772
"82",16.2,81,0.0488508012486294,0.0440048247585247,0.0392699754262983,0.0346680889918659,0.0302240414972439,0.0259683777225036,0.00882311155561828,0.00146053839802368,0.000252389571684865,0.733547026375539
"83",16.4,82,0.0482813717783521,0.0434689051148136,0.0387689155753068,0.0342032122345416,0.0297966164132671,0.0255795365420093,0.00863304488668724,0.00140960771271912,0.000239707644866426,0.729158540543359
"84",16.6,83,0.0477252870267178,0.0429458097096587,0.0382801204111333,0.0337499988493664,0.0293802088109928,0.0252010207081034,0.00844917955059091,0.0013609607239544,0.000227774331055726,0.72477005471118
"85",16.8,84,0.0471820810515172,0.042435084778434,0.0378031496224911,0.0333080233939741,0.0289744096949726,0.0248324393946209,0.00827124585225006,0.00131447245732218,0.000216538853740506,0.720381568878999
"86",17,85,0.0466513093968684,0.0419362976819106,0.0373375836121949,0.032876880671474,0.0285788297808102,0.0244734208779525,0.00809898869401773,0.00127002599814135,0.000205954325818447,0.715993083046819
"87",17.2,86,0.0461325478676064,0.0414490356924055,0.0368830222973943,0.0324561845474786,0.0281930983321664,0.0241236113976975,0.00793216663362289,0.00122751189408666,0.000195977417776203,0.711517859005704
"88",17.4,87,0.0456253913866585,0.0409729048625986,0.0364390839920397,0.0320455668487809,0.0278168620786596,0.0237826740972537,0.00777055101250791,0.00118682760775444,0.000186568057043792,0.707042634964589
"89",17.6,88,0.0451294529289227,0.0405075289705294,0.0360054043650906,0.0316446763372017,0.0274497842082002,0.0234502880379142,0.00761392514859781,0.00114787701452508,0.000177689155328911,0.702567410923474
"90",17.8,89,0.0446443625257365,0.040052548534859,0.0355816354685545,0.0312531777527065,0.02709154342788,0.0231261472806218,0.00746208358810266,0.00111056994155606,0.000169306361090296,0.698092186882358
"91",18,90,0.0441697663345431,0.0396076198950018,0.035167444829967,0.0308707509204134,0.0267418330880576,0.0228099600300589,0.00731483141145871,0.00107482174416045,0.000161387834621382,0.693616962841243
"92",18.2,91,0.0437053257688248,0.0391724143511983,0.0347625146043912,0.0304970899165854,0.0264003603647576,0.0225014478362181,0.00717198358896678,0.00104055291620051,0.000153904043490895,0.689065681024363
"93",18.4,92,0.0432507166837975,0.0387466173600259,0.0343665407814407,0.0301319022891242,0.0260668454959212,0.0222003448490257,0.00703336438209284,0.00100768873145966,0.000146827576330143,0.684514399207483
"94",18.6,93,0.042805628613739,0.0383299277812241,0.033979232443212,0.0297749083284673,0.025741021067434,0.0219063971219749,0.00689880678676077,0.000976158913254364,0.000140132973171571,0.679963117390603
"95",18.8,94,0.0423697640571714,0.0379220571720596,0.0336003110693607,0.0294258403851393,0.0254226313452023,0.0216193619610708,0.00676815201529751,0.000945897329813119,0.000133796570733444,0.675411835573723
"96",19,95,0.041942837806429,0.037522729125768,0.033229509885871,0.02908444223052,0.025111431649866,0.0213390073157045,0.00664124901398595,0.000916841713187994,0.000127796361213988,0.670860553756844
"97",19.2,96,0.0415245763184287,0.0371316786508969,0.0328665732543505,0.0287504684576801,0.0248071877710181,0.021065111208358,0.00651795401344947,0.000888933399677007,0.00012211186330785,0.66622508491012
"98",19.4,97,0.0411147171237183,0.0367486515886317,0.0325112560989465,0.0284236839193941,0.024509675418063,0.0207974612002968,0.00639813010933339,0.000862117089926642,0.000116724004290489,0.661589616063397
"99",19.6,98,0.0407130082711109,0.0363734040654209,0.0321633233682083,0.0281038632006726,0.0242186797050781,0.0205358538906469,0.00628164687096673,0.000836340627054903,0.000111615012134189,0.656954147216673
"100",19.8,99,0.040319207805432,0.0360057019784336,0.0318225495294428,0.0277907901233756,0.023933994667258,0.0202800944464589,0.00616837997588583,0.000811554791289444,0.000106768316724382,0.65231867836995
"101",20,100,0.039933083276095,0.0356453205115759,0.0314887180932985,0.0274842572806573,0.023655422806716,0.0200299961615595,0.00605821086828027,0.000787713109753248,0.000102168459338668,0.647683209523226
"102",20.2,101,0.0395544112744045,0.0352920436799695,0.031161621166495,0.0271840655991751,0.0233827746655909,0.019785380042166,0.00595102643958395,0.000764771680155105,9.78010096342983e-05,0.642993521083271
"103",20.4,102,0.0391829769976447,0.0349456639009627,0.0308410590307769,0.0268900239271557,0.0231158684245738,0.0195460744173991,0.00584671872958168,0.000742689007254083,9.36524894645152e-05,0.638304835514499
"104",20.6,103,0.0388185738381616,0.0346059815898865,0.0305268397463177,0.0266019486465584,0.0228545295251115,0.0193119145729756,0.00574518464653538,0.000721425851068356,8.97103029107052e-05,0.633616149945727
"105",20.8,104,0.0384610029957816,0.0342728047789093,0.0302187787779372,0.0263196633077123,0.0225985903136825,0.0190827424064975,0.00564632570495616,0.00070094508589007,8.5962671976929e-05,0.628927464376954
"106",21,105,0.038110073112035,0.0339459487574652,0.0299166986426175,0.0260429982849278,0.0223478897066594,0.018858406102874,0.00555004777975896,0.00068121156925024,8.23985774467385e-05,0.624238778808182
"107",21.2,106,0.0377655999247654,0.0336252357328461,0.0296204285769182,0.025771790451693,0.0221022728743901,0.0186387598285265,0.00545626087563782,0.000662192020052401,7.90077044500425e-05,0.619512766677725
"108",21.4,107,0.0374274059418117,0.0333104945096499,0.0293298042229941,0.0255058828741739,0.0218615909432262,0.0184236634431272,0.00536487891059164,0.000643854905161099,7.57803923306625e-05,0.614786754547268
"109",21.6,108,0.0370953201325444,0.0330015601868772,0.0290446673320157,0.0252451245218284,0.0216257007143289,0.018212982227717,0.00527581951261456,0.00062617033379246,7.27075884437507e-05,0.610060742416812
"110",21.8,109,0.0367691776361261,0.0326982738715512,0.0287648654838783,0.024989369994033,0.0213944643981616,0.0180065866281324,0.00518900382864172,0.0006091099591096,6.97808055468808e-05,0.605334730286355
"111",22,110,0.0364488194854485,0.0324004824078214,0.0284902518221678,0.0247384792617012,0.0211677493636656,0.0178043520127516,0.00510435634491128,0.000592646886475764,6.69920824797574e-05,0.600608718155898
"112",22.2,111,0.0361340923457697,0.0321080381205823,0.0282206848034247,0.0244923174229458,0.0209454279011806,0.0176061584436411,0.00502180471796805,0.000576755587863996,6.4333947855541e-05,0.595838115864798
"113",22.4,112,0.0358248482671485,0.0318207985727098,0.0279560279598161,0.0242507544719053,0.0207273769982466,0.017411890460251,0.00494127961559238,0.000561411821963406,6.17993865120413e-05,0.591067513573699
"114",22.6,113,0.0355209444498305,0.0315386263350775,0.0276961496743878,0.024013665079916,0.0205134781274781,0.0172214368748675,0.00486271456699235,0.000546592559560169,5.93818084938346e-05,0.5862969112826
"115",22.8,114,0.0352222430218044,0.0312613887685771,0.0274409229681262,0.0237809283882708,0.0203036170457649,0.0170346905790891,0.00478604582164627,0.000532275913805495,5.70750203569348e-05,0.5815263089915
"116",23,115,0.0349286108277961,0.0309889578174178,0.0271902252981145,0.0235524278118562,0.0200976836041011,0.0168515483606425,0.00471121221622796,0.000518441075014417,5.48731986062014e-05,0.576755706700401
"117",23.2,116,0.0346399192290214,0.0307212098130292,0.0269439383661155,0.0233280508530101,0.0198955715673958,0.0166719107299038,0.00463815504908916,0.000505068249667592,5.2770865092497e-05,0.571979210726533
"118",23.4,117,0.0343560439130613,0.0304580252879414,0.0267019479369576,0.0231076889249851,0.0196971784436619,0.0164956817555331,0.00456681796181099,0.000492138603314601,5.07628642117971e-05,0.567203154472465
"119",23.6,118,0.0340768647132684,0.0301992887990518,0.0264641436661472,0.0228912371844485,0.01950240532202,0.0163227689086727,0.00449714682737244,0.000479634207100848,4.88443417621954e-05,0.562427098218398
"120",23.8,119,0.0338022654371516,0.0299448887597349,0.0262304189361626,0.022678594372482,0.019311156718995,0.0161530829151957,0.00442908964451564,0.000467537987662105,4.70107253272529e-05,0.55765104196433
"121",24,120,0.0335321337032209,0.0296947172802805,0.0260006707009279,0.0224696626635863,0.0191233404326147,0.0159865376155258,0.00436259643791745,0.000455833680150538,4.52577060654283e-05,0.552874985710262
"122",24.2,121,0.0332663607858115,0.0294486700161841,0.0257747993379915,0.0222643475222247,0.0189388674038555,0.015823049831583,0.00429761916380501,0.00044450578417432,4.35812217955794e-05,0.548079600932922
